trial_number,score,latency_seconds,status,failure_reason,config_json,context_recall,answer_similarity,faithfulness
4,0.8203236903192934,692.2013,completed,,"{""chunking"": {""overlap"": 64, ""size"": 512, ""strategy"": ""token""}, ""generation"": {""answer_style"": ""concise"", ""llm"": ""gpt-class"", ""temperature"": 0.0}, ""indexing"": {""embedding_model"": ""e5-base"", ""metadata_enrichment"": false, ""retriever"": ""hybrid""}, ""query_refinement"": {""decompose"": true, ""rewrite"": true}, ""reranking"": {""enabled"": true, ""model"": ""bge-reranker-base""}}",0.9701897018970188,0.6046898810536254,0.8604843304843305
5,0.8183838061501146,407.7022,completed,,"{""chunking"": {""overlap"": 32, ""size"": 128, ""strategy"": ""semantic""}, ""generation"": {""answer_style"": ""concise"", ""llm"": ""student-direct"", ""temperature"": 0.0}, ""indexing"": {""embedding_model"": ""e5-base"", ""metadata_enrichment"": true, ""retriever"": ""hybrid""}, ""query_refinement"": {""decompose"": false, ""rewrite"": true}, ""reranking"": {""enabled"": false}}",0.964769647696477,0.6144050966410068,0.8459784043117377
0,0.8075039204014689,532.4363,completed,,"{""chunking"": {""overlap"": 0, ""size"": 256, ""strategy"": ""sentence""}, ""generation"": {""answer_style"": ""concise"", ""llm"": ""student-direct"", ""temperature"": 0.2}, ""indexing"": {""embedding_model"": ""bge-small"", ""metadata_enrichment"": true, ""retriever"": ""hybrid""}, ""query_refinement"": {""decompose"": true, ""rewrite"": false}, ""reranking"": {""enabled"": true, ""model"": ""bge-reranker-base""}}",0.9701897018970188,0.5627732874283039,0.8697395197395199
1,0.7908649915401522,638.3694,completed,,"{""chunking"": {""overlap"": 32, ""size"": 128, ""strategy"": ""semantic""}, ""generation"": {""answer_style"": ""citation_first"", ""llm"": ""student-direct"", ""temperature"": 0.2}, ""indexing"": {""embedding_model"": ""e5-base"", ""metadata_enrichment"": true, ""retriever"": ""hybrid""}, ""query_refinement"": {""decompose"": false, ""rewrite"": false}, ""reranking"": {""enabled"": true, ""model"": ""bge-reranker-base""}}",0.9203252032520324,0.5752395705483918,0.876924001924002
2,0.7380551428294116,426.8021,completed,,"{""chunking"": {""overlap"": 64, ""size"": 512, ""strategy"": ""sentence""}, ""generation"": {""answer_style"": ""concise"", ""llm"": ""gpt-class"", ""temperature"": 0.2}, ""indexing"": {""embedding_model"": ""e5-base"", ""metadata_enrichment"": true, ""retriever"": ""bm25""}, ""query_refinement"": {""decompose"": false, ""rewrite"": false}, ""reranking"": {""enabled"": false}}",0.8295266680265369,0.5852141997753045,0.7997158614805675
3,0.581895561795386,74.3665,pruned,Trial pruned by Optuna,"{""chunking"": {""overlap"": 32, ""size"": 128, ""strategy"": ""token""}, ""generation"": {""answer_style"": ""citation_first"", ""llm"": ""gpt-class"", ""temperature"": 0.0}, ""indexing"": {""embedding_model"": ""e5-base"", ""metadata_enrichment"": true, ""retriever"": ""bm25""}, ""query_refinement"": {""decompose"": false, ""rewrite"": true}, ""reranking"": {""enabled"": false}}",0.6333333333333333,0.5952118092113071,0.44285714285714284
