trial_number,score,latency_seconds,status,failure_reason,config_json,retrieval_coverage_proxy,groundedness,citation_quality
5,0.7749999999999999,206.2641,pruned,Trial pruned by Optuna,"{""chunking"": {""overlap"": 32, ""size"": 128, ""strategy"": ""semantic""}, ""generation"": {""answer_style"": ""concise"", ""llm"": ""student-direct"", ""temperature"": 0.0}, ""indexing"": {""embedding_model"": ""e5-base"", ""metadata_enrichment"": true, ""retriever"": ""hybrid""}, ""query_refinement"": {""decompose"": false, ""rewrite"": true}, ""reranking"": {""enabled"": false}}",0.5,1.0,1.0
3,0.7249999999999999,199.823,pruned,Trial pruned by Optuna,"{""chunking"": {""overlap"": 32, ""size"": 128, ""strategy"": ""token""}, ""generation"": {""answer_style"": ""citation_first"", ""llm"": ""gpt-class"", ""temperature"": 0.0}, ""indexing"": {""embedding_model"": ""e5-base"", ""metadata_enrichment"": true, ""retriever"": ""bm25""}, ""query_refinement"": {""decompose"": false, ""rewrite"": true}, ""reranking"": {""enabled"": false}}",0.5,1.0,0.75
1,0.72,1171.7589,completed,,"{""chunking"": {""overlap"": 32, ""size"": 128, ""strategy"": ""semantic""}, ""generation"": {""answer_style"": ""citation_first"", ""llm"": ""student-direct"", ""temperature"": 0.2}, ""indexing"": {""embedding_model"": ""e5-base"", ""metadata_enrichment"": true, ""retriever"": ""hybrid""}, ""query_refinement"": {""decompose"": false, ""rewrite"": false}, ""reranking"": {""enabled"": true, ""model"": ""bge-reranker-base""}}",0.8333333333333334,0.6111111111111112,0.6555555555555554
0,0.6955555555555556,1085.9671,completed,,"{""chunking"": {""overlap"": 0, ""size"": 256, ""strategy"": ""sentence""}, ""generation"": {""answer_style"": ""concise"", ""llm"": ""student-direct"", ""temperature"": 0.2}, ""indexing"": {""embedding_model"": ""bge-small"", ""metadata_enrichment"": true, ""retriever"": ""hybrid""}, ""query_refinement"": {""decompose"": true, ""rewrite"": false}, ""reranking"": {""enabled"": true, ""model"": ""bge-reranker-base""}}",0.7777777777777778,0.6444444444444444,0.6
2,0.6733333333333333,783.81,completed,,"{""chunking"": {""overlap"": 64, ""size"": 512, ""strategy"": ""sentence""}, ""generation"": {""answer_style"": ""concise"", ""llm"": ""gpt-class"", ""temperature"": 0.2}, ""indexing"": {""embedding_model"": ""e5-base"", ""metadata_enrichment"": true, ""retriever"": ""bm25""}, ""query_refinement"": {""decompose"": false, ""rewrite"": false}, ""reranking"": {""enabled"": false}}",0.7777777777777778,0.6000000000000001,0.5666666666666668
4,0.47250000000000003,278.6385,pruned,Trial pruned by Optuna,"{""chunking"": {""overlap"": 64, ""size"": 512, ""strategy"": ""token""}, ""generation"": {""answer_style"": ""concise"", ""llm"": ""gpt-class"", ""temperature"": 0.0}, ""indexing"": {""embedding_model"": ""e5-base"", ""metadata_enrichment"": false, ""retriever"": ""hybrid""}, ""query_refinement"": {""decompose"": true, ""rewrite"": true}, ""reranking"": {""enabled"": true, ""model"": ""bge-reranker-base""}}",0.5,0.45,0.45
